index,memory
2000,  98532
  4000,  98532
  6000,  98532
  8000,  98532
 10000,  98532
 12000,  98532
 14000,  98532
 16000,  98532
 18000,  98532
 20000,  98532
 22000,  98532
 24000,  98532
 26000,  98532
 28000,  98532
 30000,  98532
 32000,  98532
 34000,  98532
 36000,  98532
 38000,  98532
 40000,  98532
 42000,  98532
 44000,  98532
 46000,  98532
 48000,  98532
 50000,  98532
 52000,  98532
 54000,  98532
 56000,  98532
 58000,  98532
 60000,  98532
 62000,  98532
 64000,  98532
 66000,  98532
 68000,  98532
 70000,  98532
 72000,  98532
 74000,  98532
 76000,  98532
 78000,  98532
 80000,  98532
 82000,  98532
 84000,  98532
 86000,  98532
 88000,  98532
 90000,  98532
 92000,  98532
 94000,  98532
 96000,  98532
 98000,  98532
100000,  98532
102000,  98532
104000,  98532
106000,  98532
108000,  98532
110000,  98532
112000,  98532
114000,  98532
116000,  98532
118000,  98532
120000,  98532
122000,  98532
124000,  98532
126000,  98532
128000,  98532
130000,  98532
132000,  98532
134000,  98532
136000,  98532
138000,  98532
140000,  98532
142000,  98532
144000,  98532
146000,  98532
148000,  98532
150000,  98532
152000,  98532
154000,  98532
156000,  98532
158000,  98532
160000,  98532
162000,  98532
164000,  98532
166000,  98532
168000,  98532
170000,  98532
172000,  98532
174000,  98532
176000,  98532
178000,  98532
180000,  98532
182000,  98532
184000,  98532
186000,  98532
188000,  98532
190000,  98532
192000,  98532
194000,  98532
196000,  98532
198000,  98532
200000,  98532
202000,  98532
204000,  98532
206000,  98532
208000,  98532
210000,  98532
212000,  98532
214000,  98532
216000,  98532
218000,  98532
220000,  98532
222000,  98532
224000,  98532
226000,  98532
228000,  98532
230000,  98532
232000,  98532
234000,  98532
236000,  98532
238000,  98532
240000,  98532
242000,  98532
244000,  98532
246000,  98532
248000,  98532
250000,  98532
252000,  98532
254000,  98532
256000,  98532
258000,  98532
260000,  98532
262000,  98532
264000,  98532
266000,  98532
268000,  98532
270000,  98532
272000,  98532
274000,  98532
276000,  98532
278000,  98532
280000,  98532
282000,  98532
284000,  98532
286000,  98532
288000,  98532
290000,  98532
292000,  98532
294000,  98532
296000,  98532
298000,  98532
300000,  98532
302000,  98532
304000,  98532
306000,  98532
308000,  98532
310000,  98532
312000,  98532
314000,  98532
316000,  98532
318000,  98532
320000,  98532
322000,  98532
324000,  98532
326000,  98532
328000,  98532
330000,  98532
332000,  98532
334000,  98532
336000,  98532
338000,  98532
340000,  98532
342000,  98532
344000,  98532
346000,  98532
348000,  98532
350000,  98532
352000,  98532
354000,  98532
356000,  98532
358000,  98532
360000,  98532
362000,  98532
364000,  98532
366000,  98532
368000,  98532
370000,  98532
372000,  98532
374000,  98532
376000,  98532
378000,  98532
380000,  98532
382000,  98532
384000,  98532
386000,  98532
388000,  98532
390000,  98532
392000,  98532
394000,  98532
396000,  98532
398000,  98532
400000,  98532
