index,time
2000,  0.020000
  4000,  0.025000
  6000,  0.024000
  8000,  0.025000
 10000,  0.024000
 12000,  0.027000
 14000,  0.025000
 16000,  0.024000
 18000,  0.023000
 20000,  0.023000
 22000,  0.024000
 24000,  0.023000
 26000,  0.024000
 28000,  0.024000
 30000,  0.024000
 32000,  0.024000
 34000,  0.024000
 36000,  0.024000
 38000,  0.024000
 40000,  0.024000
 42000,  0.026000
 44000,  0.023000
 46000,  0.024000
 48000,  0.025000
 50000,  0.023000
 52000,  0.024000
 54000,  0.023000
 56000,  0.022000
 58000,  0.024000
 60000,  0.023000
 62000,  0.026000
 64000,  0.024000
 66000,  0.023000
 68000,  0.023000
 70000,  0.023000
 72000,  0.024000
 74000,  0.023000
 76000,  0.023000
 78000,  0.023000
 80000,  0.025000
 82000,  0.022000
 84000,  0.025000
 86000,  0.024000
 88000,  0.026000
 90000,  0.023000
 92000,  0.026000
 94000,  0.022000
 96000,  0.023000
 98000,  0.025000
100000,  0.024000
102000,  0.024000
104000,  0.026000
106000,  0.026000
108000,  0.024000
110000,  0.023000
112000,  0.023000
114000,  0.023000
116000,  0.026000
118000,  0.023000
120000,  0.026000
122000,  0.023000
124000,  0.026000
126000,  0.023000
128000,  0.025000
130000,  0.024000
132000,  0.023000
134000,  0.025000
136000,  0.023000
138000,  0.024000
140000,  0.023000
142000,  0.024000
144000,  0.022000
146000,  0.025000
148000,  0.024000
150000,  0.025000
152000,  0.024000
154000,  0.023000
156000,  0.025000
158000,  0.025000
160000,  0.024000
162000,  0.024000
164000,  0.024000
166000,  0.025000
168000,  0.027000
170000,  0.022000
172000,  0.022000
174000,  0.023000
176000,  0.026000
178000,  0.023000
180000,  0.024000
182000,  0.024000
184000,  0.022000
186000,  0.025000
188000,  0.024000
190000,  0.023000
192000,  0.023000
194000,  0.024000
196000,  0.023000
198000,  0.022000
200000,  0.024000
202000,  0.024000
204000,  0.023000
206000,  0.027000
208000,  0.025000
210000,  0.025000
212000,  0.023000
214000,  0.025000
216000,  0.024000
218000,  0.023000
220000,  0.024000
222000,  0.023000
224000,  0.023000
226000,  0.024000
228000,  0.023000
230000,  0.022000
232000,  0.024000
234000,  0.024000
236000,  0.025000
238000,  0.022000
240000,  0.025000
242000,  0.022000
244000,  0.025000
246000,  0.022000
248000,  0.023000
250000,  0.023000
252000,  0.024000
254000,  0.024000
256000,  0.024000
258000,  0.024000
260000,  0.024000
262000,  0.024000
264000,  0.024000
266000,  0.024000
268000,  0.025000
270000,  0.025000
272000,  0.023000
274000,  0.022000
276000,  0.024000
278000,  0.024000
280000,  0.023000
282000,  0.026000
284000,  0.024000
286000,  0.024000
288000,  0.025000
290000,  0.025000
292000,  0.024000
294000,  0.023000
296000,  0.022000
298000,  0.025000
300000,  0.023000
302000,  0.023000
304000,  0.023000
306000,  0.024000
308000,  0.026000
310000,  0.022000
312000,  0.025000
314000,  0.023000
316000,  0.025000
318000,  0.023000
320000,  0.024000
322000,  0.023000
324000,  0.024000
326000,  0.024000
328000,  0.026000
330000,  0.025000
332000,  0.024000
334000,  0.023000
336000,  0.024000
338000,  0.025000
340000,  0.023000
342000,  0.025000
344000,  0.025000
346000,  0.024000
348000,  0.022000
350000,  0.025000
352000,  0.024000
354000,  0.023000
356000,  0.024000
358000,  0.024000
360000,  0.023000
362000,  0.023000
364000,  0.023000
366000,  0.023000
368000,  0.023000
370000,  0.024000
372000,  0.025000
374000,  0.022000
376000,  0.026000
378000,  0.023000
380000,  0.025000
382000,  0.022000
384000,  0.025000
386000,  0.023000
388000,  0.023000
390000,  0.022000
392000,  0.031000
394000,  0.024000
396000,  0.024000
398000,  0.023000
400000,  0.024000
