index,time
0,  0.000000
   400,  0.008000
   800,  0.016000
  1200,  0.025000
  1600,  0.033000
  2000,  0.042000
  2400,  0.049000
  2800,  0.057000
  3200,  0.066000
  3600,  0.073000
  4000,  0.083000
  4400,  0.091000
  4800,  0.099000
  5200,  0.105000
  5600,  0.117000
  6000,  0.123000
  6400,  0.131000
  6800,  0.140000
  7200,  0.147000
  7600,  0.158000
  8000,  0.162000
  8400,  0.174000
  8800,  0.181000
  9200,  0.189000
  9600,  0.199000
 10000,  0.208000
 10400,  0.215000
 10800,  0.227000
 11200,  0.231000
 11600,  0.240000
 12000,  0.249000
 12400,  0.263000
 12800,  0.263000
 13200,  0.268000
 13600,  0.278000
 14000,  0.288000
 14400,  0.306000
 14800,  0.313000
 15200,  0.317000
 15600,  0.320000
 16000,  0.330000
 16400,  0.338000
 16800,  0.354000
 17200,  0.357000
 17600,  0.368000
 18000,  0.374000
 18400,  0.383000
 18800,  0.392000
 19200,  0.394000
 19600,  0.408000
 20000,  0.415000
 20400,  0.422000
 20800,  0.434000
 21200,  0.435000
 21600,  0.447000
 22000,  0.450000
 22400,  0.465000
 22800,  0.474000
 23200,  0.475000
 23600,  0.487000
 24000,  0.495000
 24400,  0.505000
 24800,  0.511000
 25200,  0.563000
 25600,  0.537000
 26000,  0.542000
 26400,  0.547000
 26800,  0.551000
 27200,  0.565000
 27600,  0.567000
 28000,  0.582000
 28400,  0.590000
 28800,  0.595000
 29200,  0.607000
 29600,  0.614000
 30000,  0.617000
 30400,  0.626000
 30800,  0.637000
 31200,  0.654000
 31600,  0.652000
 32000,  0.659000
 32400,  0.673000
 32800,  0.685000
 33200,  0.688000
 33600,  0.687000
 34000,  0.705000
 34400,  0.719000
 34800,  0.723000
 35200,  0.724000
 35600,  0.736000
 36000,  0.743000
 36400,  0.769000
 36800,  0.761000
 37200,  0.782000
 37600,  0.808000
 38000,  0.799000
 38400,  0.807000
 38800,  0.814000
 39200,  0.840000
 39600,  0.833000
